Gene Start (bp)	Associated Gene Name
65438730	RP11-307F22.2
213628294	AC093865.1
177028892	RP11-387A1.5
120140325	LINC00622
63465954	RP11-561N12.2
56149111	OR8L1P
137303302	RP11-55K22.5
213660055	AC093381.2
87833163	Y_RNA
187207248	F11-AS1
27503242	RP11-40H20.5
78470030	RP11-386I14.4
171724943	RP4-560B9.6
46850251	PPP5C
87909670	MIR3166
65738905	AC007389.2
120143963	HSD3BP5
61447596	COL9A3
171731214	RP4-560B9.4
63488230	LINC01005
88141347	GAPDHP70
135090138	AL159997.1
224493082	RNU6-1008P
125536031	RP11-56O18.1
110465872	C12orf76
65772537	RN7SL635P
65684286	AL109922.1
78509067	RP11-386I14.2
137316307	RP11-204P2.3
125690492	RNA5SP102
224524493	snoU13
65720260	AL109922.2
65782566	VTRNA2-2P
213696885	PCED1CP
168081518	CTC-558O2.2
224585929	MIR4742
2819873	AC092117.2
137861537	SNORD112
65816700	AC007389.3
27527325	CHCHD3P3
28089573	ZSCAN16-AS1
2846409	SNORA3
28915742	RABEP2
27961804	MKX
56161205	OR5AL2P
66011354	RP11-74E24.2
63505821	RP11-3N2.13
224762136	AKR1B1P1
131416556	RP11-217L21.1
177037923	HOXD-AS1
137865034	BTF3L4P3
135297028	RNU5D-2P
125746796	RNU6-259P
171737210	SCARNA20
65893829	KRT18P33
27533421	NPM1P39
125886409	snosnR60_Z15
131532025	AP003039.3
2848486	PRSS41
171772657	RP4-612B18.3
66176897	AL109612.1
135644840	RP11-295G24.5
88237744	GRM5-AS1
126468546	AC097499.1
224802998	RP11-100E13.1
66498310	SLC25A51P1
78554672	RNU6-1102P
172546526	ATP5G1P4
5758678	NLGN4X
131640689	RP11-651K21.1
168133572	CTC-558O2.1
65894390	AC007389.4
78557183	RP11-386I14.3
56180220	OR5AL1
53489773	RP11-368P15.2
28104627	RP1-265C24.8
27537756	SNRPEP7
65958810	RP11-340F16.1
66546823	ADH5P4
131747574	AP004372.1
224848875	RP11-100E13.3
31723322	VWA7
63545938	TRIM60P17
135729205	RNU6-357P
137994597	RP11-95M15.1
53503473	RP11-368P15.3
56216144	OR5M4P
88345973	RNU6-16P
78560491	RNA5SP22
66268384	AC074391.2
53619767	AL356020.1
131850990	RP11-697E14.2
88845878	AP001482.1
66462509	AC118345.1
78636165	RNFT1P2
53620072	RP11-547D23.1
171783652	Y_RNA
171784974	GORASP2
135821094	MIR548AW
26251074	AC013449.1
28129559	ZNF192P1
126580685	AC097499.2
120377388	NBPF7
89026913	CBX3P7
132154196	NTM-IT
27555597	RP11-40H20.4
171793750	RP4-612B18.1
138026560	RP11-95M15.2
1295601	TOLLIP
66466632	AC118345.2
172548771	RP11-816B4.1
66803324	NUFIP1P
224905206	RP11-3L21.2
78695283	RP11-183M13.1
2872660	LA16c-352F10.1
132395703	RNU6-1182P
27581955	Y_RNA
66554481	AC092669.6
67069318	AC002485.1
135822456	RP11-295G24.4
27637731	RP11-4K3__A.3
132729140	OPCML-IT2
172692932	snoU13
67420135	RP11-24C14.1
53635772	AL163953.3
120730900	RNU4-1
224910169	AL596330.1
71798664	PHKA1
171833327	DNM3-IT1
67438736	RNU7-66P
43735665	TMEM125
172871527	RP11-324C10.1
63560683	GUSBP6
29039603	OR2P1P
224954602	RP11-449J1.1
168195151	MIR218-2
133229924	OPCML-IT1
35051012	AC010368.2
67859402	AL590874.1
172107938	MIR214
126867676	AC114813.1
67920301	SNORD65
27651710	RNU6-48P
2889569	PRSS30P
133306833	snoU13
138038085	AL357060.1
225634945	RP11-496N12.6
66554481	AC092669.2
172109461	DNM3OS
18553473	ELL
173362021	RP11-521A24.1
68166239	RP11-409K15.1
27651820	RP11-4K3__A.5
29044352	SAR1P1
133372772	AP005638.1
78782841	RP11-472F19.1
54066550	AL163953.2
146031990	OTUD4
168218503	Y_RNA
120395939	PFN1P9
121012201	LTV1P1
138051307	RP11-356I2.1
133653566	RP11-448P19.1
66585381	MIR4778
168420005	CTB-174D11.2
225888306	RP11-145A3.1
78840849	RNA5SP23
54079442	RPS3AP46
66610438	AC092669.3
172113675	MIR199A2
68177124	RNA5SP208
27715972	RP1-144C9.2
121485609	INPP5F
79131957	RP4-641G12.3
29068729	OR2J1
54235660	AL162759.1
135837898	RP11-415H23.4
68256544	RNU6-280P
173628288	NLGN1-AS1
172317283	SNORD112
225898670	RP11-145A3.2
133734772	RP11-259P6.3
68335249	Y_RNA
135839119	RNU7-21P
93863485	Y_RNA
159630286	PPID
120428927	NOTCH2P1
172335680	RNU6-157P
127066087	AC023347.1
29091993	XXbac-BCX196D17.5
68597538	RP11-301G19.1
93903746	RNU6-1258P
54383988	AL138479.3
66653867	MEIS1-AS3
172582568	RNU6-693P
65543364	AP5B1
79152745	AC104837.1
27783709	RP4-752I6.1
133768399	MIR4697
121263211	SAR1P3
225928977	RNU6-1304P
172717700	SLC25A38P1
79214758	RP4-641G12.4
29105660	OR2N1P
128702976	HSPA4L
27852316	RP1-159A19.4
225990850	RP11-145A3.4
133826696	AP000911.1
94371076	FAM181A-AS1
23732793	ZDHHC8P1
187249870	SLC25A5P6
173775431	RN7SKP234
133896882	RP11-713P17.5
27975930	RP1-159A19.3
79520630	PSAT1P3
54415145	MIR5580
172745045	RP1-15D23.2
174020734	RP11-393N4.1
29149307	OR2J4P
68643377	RP11-301G19.2
66666220	MEIS1-AS2
226028584	RP11-285F7.2
138105511	Y_RNA
135894816	EEF1A1P5
54457819	ATP5C1P1
27986839	RP11-288L9.1
120451878	RP5-1042I8.7
172855087	AIMP1P2
79600818	AC093430.1
226124111	RP4-559A3.6
68765243	RP11-542F9.1
174095034	RP11-393N4.2
79789454	RP4-726F1.1
66666575	AC092669.1
120619223	RP11-114O18.1
187422263	RNU6-1055P
26256976	RAB10
133902167	RP11-713P17.3
172876040	RP3-471M13.2
79986765	ADH5P2
17506642	AC140076.1
79163393	AZI1
121560245	RP11-501E14.1
187778529	AC108865.1
138144810	RP11-356I2.4
34619079	AP000295.9
27995979	RP11-288L9.4
54937427	RP11-794A8.1
68936864	RP11-406O16.1
168440232	CTB-174D11.1
174349613	RN7SKP40
17706455	U7
226151879	NDUFA3P3
29169591	AL935156.2
65294845	MTFMT
120669562	RNU6-465P
65554493	OVOL1
174777151	RP11-432A8.2
17747550	AC104451.2
187812123	RP11-11N5.1
55325933	RNU6ATAC9P
28002114	RNU6-949P
120693320	RP6-42F4.1
69203331	AL606923.1
22611226	AC002480.5
177042445	AC009336.24
28143966	AL022393.7
173110239	GOT2P2
226248413	RP11-396C23.4
56246968	OR5M2P
66801162	AC007392.3
17913221	AC104297.1
55344831	MIR4308
121731624	RNU6-550P
28013321	CHMP1AP1
69308096	RP11-361F19.1
80557788	RP11-339A11.1
17918947	PDCL3P3
29183059	OR2H4P
121816649	SETP12
120835810	RP11-439A17.7
94414572	MIR4506
174797097	NAALADL2-AS3
55351567	FDPSP3
226271340	RP11-396C23.2
80580628	RP11-339A11.2
22629324	AC002480.4
18031515	AC132807.1
56263236	CTD-3051L14.13
69339854	RP3-525N10.2
177065636	AC016739.2
80749037	HMGB1P18
18450172	RP11-158G18.1
187813706	RP11-11N5.3
28020242	RNU6-424P
22689579	AC002480.2
226314879	RP11-396C23.3
44686742	ERI3
144997317	PLEC
120876495	RP11-439A17.4
173143439	RP3-395P12.2
28065602	RP3-426I6.2
80795064	AL606519.1
187821694	MRPS36P2
136578001	BCLAF1
56267776	OR5M7P
177106839	AC016739.1
226335704	RP11-275I14.4
121982327	RN7SKP137
80839049	RP11-339D23.1
29197050	OR2G1P
94463616	LINC00521
120880883	RP11-439A17.5
174952651	NAALADL2-AS2
177203365	AC073069.2
121992584	RP11-647P12.1
28066465	RPEP3
28155828	ZNF192P2
173250216	snoU13
56277049	CTD-3051L14.14
69924622	AL158051.1
95940201	PROM2
66291518	AC090673.2
177246960	AC068706.2
175087329	MIR4789
226376571	RP11-275I14.2
80916768	HNRNPA1P64
173320828	RP11-296O14.1
70331265	AL358133.1
187900644	RP11-217E13.1
28100369	RP3-426I6.5
122039454	RP11-647P12.2
177248155	AC068706.1
55471531	AL160471.6
175115036	RNU6-1233P
133905727	RP11-713P17.4
122113952	RNU6-948P
70415179	NPM1P37
28146494	RP3-426I6.6
138264216	RP11-10J5.1
177370973	AC017048.1
120904675	HIST2H3DP1
175327267	RNU4-91P
122250224	Y_RNA
29384951	OR12D1
55663445	RP11-698F20.3
23734958	KB-1269D1.8
56279711	OR5M6P
34638663	IL10RB
175392875	RP11-744O11.2
173331536	RP11-296O14.2
28151049	RNU6-1245P
226491963	snoU13
122290588	RP11-364P2.2
133993723	PTP4A2P2
40490041	ZNF546
80929986	RP11-115A15.4
28160912	SCARNA1
55707340	RP11-665C16.8
66516842	LLPH
226503762	snoU13
203764782	ZC3H11A
138266503	RP11-240M16.1
187981253	RP11-696F12.1
64670585	ADAMTS9-AS2
70455763	GAPDHP42
23775751	AP000344.3
177389607	AC017048.2
28265386	RP11-460I13.2
173386932	RP11-296O14.3
120906028	HIST2H2BA
226505716	YBX1P9
134042990	RP11-700F16.2
56294044	OR5M5P
66924257	AC007392.4
29390278	OR5V1
175436019	UBE2V1P2
134048719	RP11-700F16.3
177476165	RP11-324L17.1
122323742	AC093816.1
188123140	RP11-308K2.1
226599316	RP11-118H4.3
28185421	TOB2P1
138316407	RPSAP42
122372696	TUBB4BP5
70808282	RPL37P15
175457059	snoU13
69375159	UGT2B29P
28316669	RP11-460I13.6
226626265	RP11-118H4.1
131100515	NUDT16
80961588	RP11-115A15.2
175485346	RNU6-1317P
134186676	AP000859.4
177494317	LINC01116
120906609	RP11-439A17.10
23788785	AP000344.4
122791738	RP11-63B13.1
43747554	C1orf210
69745463	RP11-497H16.9
62051989	FAM161A
175490933	NAALADL2-AS1
173524390	RP3-436N22.3
65160633	RP11-543A18.1
120925634	RP11-439A17.9
29432261	UBDP1
70932461	RP1-149L1.1
122998995	AC097533.1
173604912	RP11-360D2.1
67047816	AC009474.1
69480137	RP11-1267H10.2
28358397	RN7SL559P
121102017	RP11-343N15.1
134306367	RP11-627G23.1
35894338	GJD4
71104590	RP11-462G2.1
173629236	snoU13
138714510	RP3-422G23.3
23804273	AP000345.1
28421582	SPCS2P4
226633638	RN7SKP165
127069043	AC023347.2
94402515	RN7SKP263
173710813	RP11-360D2.2
69481111	RP11-1267H10.1
188225237	RP11-138B4.1
226680889	CDKN2AIPNLP1
81000663	RP11-115A15.1
123008661	RN7SL335P
94533853	RP11-74K11.1
138723722	MARCKSL1P2
69758071	RP11-497H16.7
69492565	RP11-1267H10.3
40518604	ZNF619
150464212	PPP1R14C
28436250	RP5-1053E7.2
19571861	RP11-841C19.4
56364902	OR5M13P
173760686	RN7SKP160
29442690	MAS1LP1
81001440	RP5-887A10.1
175527552	RP11-523G9.3
173777627	Y_RNA
121107124	SRGAP2C
28234788	RP5-874C20.3
226844341	ITPKB-IT1
175656717	RP11-809F4.3
188291802	RP11-91J3.2
173832386	GAS5-AS1
71122531	RP11-462G2.2
25946209	ATP8A2
19598883	RNU6-254P
45810610	TBX21
138756350	MIR3145
175695285	RP11-809F4.2
56387255	OR5AM1P
28446960	RP5-1053E7.3
19609178	EEF1A1P4
29456937	RPS17P1
138971363	RP11-390P2.2
177502438	LINC01117
226856598	ITPKB-AS1
81546475	MTND2P30
69570318	RP11-1267H10.4
71222997	RNU7-48P
22765014	AC073072.5
55729485	RP11-665C16.6
67108219	AC009474.2
81563952	RPL7P10
71306141	RP11-134K13.4
28469248	RNU6-176P
188334718	RP11-91J3.3
23854681	AP000345.4
226969202	RPS27P5
71317937	RP11-134K13.2
28470667	RNU7-29P
22787294	AC073072.6
134433290	AP004550.1
81674253	RP3-445O10.1
67131568	AC007403.2
188362831	RP11-91J3.1
6451659	VCX3A
65590493	CFL1
28566020	RP5-1092A3.4
23909251	AP000345.2
71373205	SLC25A6P6
35617946	SPEF2
29465175	XXbac-BPG13B8.10
32741696	TAP1
177529404	RNU6ATAC14P
227145770	RP5-1087E8.2
139013685	RP11-390P2.4
28573655	RP5-1092A3.5
69650336	CTD-2005D20.1
19661838	RP11-841C19.1
134541320	RP11-469N6.3
157099063	ARID1B
22813265	AC073072.7
69783429	RP11-497H16.2
28749066	Y_RNA
188437307	RP11-237D3.1
177588996	AC092162.1
19877369	RNU1-146P
28780052	RP1-308E4.1
134584436	RP11-469N6.2
81717474	RN7SKP247
19928385	RP11-405A12.2
53531407	RP11-515E23.2
73584139	MYO15B
227179841	RP5-1087E8.3
23923067	KB-208E9.1
81892141	HNRNPA3P14
67148642	AC007403.1
64532078	SF1
135957926	CELP
3827169	ATP2A3
20094455	RP11-405A12.1
28807874	RNU6ATAC27P
134605490	RP11-469N6.1
53545427	RP11-515E23.1
188454032	RP11-565A3.2
22893797	AC005682.5
23972805	KB-1572G7.3
28832492	SNHG3
53604325	CTD-2033D24.2
76783233	RP11-77G23.5
22138758	LDLRAD2
227366034	RP11-1B20.1
150382785	GIMAP2
69790927	RP11-497H16.8
81967479	RP5-837I24.1
139143884	RP3-509I19.1
227421970	RP11-211A18.2
76849006	PPIAP13
71403542	RP11-160A9.3
67267678	AC007403.3
177669715	FUCA1P1
35927177	FZD8
134820602	RP11-555G19.1
81970784	RP5-837I24.6
69679713	RP11-468N14.1
53628292	CTD-2033D24.1
159690290	FNIP2
69699931	RP11-468N14.3
227452477	RP11-211A18.1
177674154	AC092162.2
69803906	RP11-497H16.6
81979565	RP5-837I24.2
28835071	SNORA73B
23980674	GUSBP11
53629171	RNU6-1249P
76884975	RP11-487I5.4
71444206	RP11-160A9.2
121133256	RP11-343N15.5
28843988	snoU13
177710721	AC073636.1
53920038	RP11-763E3.1
106877619	IGHV4-39
227581292	CTD-2090I13.1
66517697	TMBIM4
69727050	RP11-468N14.4
121138614	AL592494.5
28852830	PRDX3P2
139180164	RNU6-427P
134931675	AP005135.2
32128021	RP11-1166P10.7
80439974	NARF-IT1
71785267	RP1-20N4.1
29497090	LINC01015
139200036	RP3-509I19.6
135968439	snoU13
2907899	LA16c-325D7.1
127315012	YWHAZP2
71836597	U3
67313578	AC023115.2
121154579	RP11-343N15.2
32199654	RP11-17M15.1
54132148	AC011073.1
82022806	MED28P8
177794713	RNU6-187P
69743344	RP11-468N14.5
71874779	LYPLA1P3
68358370	RP11-474G23.1
121236177	RP11-344P13.4
80534492	RP13-638C3.6
54445424	RP11-502F1.2
44978167	SLC35C2
227598318	CTD-2090I13.2
2916349	LA16c-325D7.2
43766664	TIE1
106926188	IGHV3-43
32200583	RP11-56L13.4
121244142	RP11-344P13.3
177855236	AC079305.11
20779527	CCNB1IP1
82051626	RP5-837I24.4
2972663	LA16c-321D4.1
22896232	SNORD93
227618227	CTD-2090I13.3
121260164	RP11-344P13.6
26655352	IFT20
71892315	RNU6-411P
2989715	LA16c-321D4.2
106962931	IGHV1-45
82061842	RP5-837I24.5
80535899	RP13-638C3.2
32211223	FAM108A9P
136100292	LCN1P1
69749603	RP11-468N14.6
178003427	RNA5SP112
105866350	MSANTD4
22903493	AC005682.6
29505444	GPR53P
178020350	AC079305.8
69812214	RP11-497H16.5
121261143	EMBP1
28623767	GOLGA8F
120763048	RP11-498J9.2
29520916	OR2I1P
65218575	AC104331.1
3038962	LINC00514
131630136	SLC22A4
80540381	snoU13
178042423	AC079305.5
65344943	RP11-88H12.2
69766369	RP11-468N14.7
161062580	SPTSSB
120765302	AL157788.1
80545189	RP13-638C3.3
82187378	ST13P20
69825198	RP11-497H16.4
6966961	HDHD1
227621765	BTF3P9
120819523	SNORA19
178059711	Y_RNA
127437198	AC013474.4
132328791	Y_RNA
188534919	RP11-565A3.1
80560865	RP13-638C3.4
65573177	AC104438.1
127460415	RNU6-675P
34696734	IFNAR1
120820495	SNORA19
178062713	KRT8P40
132338811	RP11-485M7.1
138537129	PBOV1
69766726	RP11-468N14.13
227669954	RP11-275O4.4
80626109	MIR4525
127774997	RNU7-182P
139465341	RP1-225E12.2
120852652	RP11-435O11.5
178077454	MIR4444-2
69773636	RP11-468N14.8
127781828	RP11-521O16.1
80671784	RP11-388C12.1
178093919	DNAJC19P5
132446747	RP11-485M7.3
29541620	OR2H5P
127782787	RP11-521O16.2
29053323	CTD-2349P21.6
178120673	MIR3128
28905050	SNHG12
71931160	RP11-154D6.1
121315744	RP11-344P13.1
87777014	RP11-1399P15.1
29056487	CTD-2349P21.5
227680730	TUBB8P10
124768495	ACADSB
178129087	AC079305.10
80687040	RP11-388C12.5
127927587	NIFKP9
82680904	RP11-147G16.1
70046954	RP11-589F5.4
27046411	RPL23A
32224701	RP11-56L13.6
69780640	RP11-468N14.09
80702944	RP11-388C12.8
87865347	AC133644.3
132496130	CTB-49A3.2
188667248	ADAM20P3
80735830	AC068014.1
29108511	CTD-2349P21.10
32261941	RP11-56L13.7
23980679	AP000347.4
83368866	RP4-601K24.1
128004834	AC110926.4
107842959	DKK2
68384976	PNO1
80736353	AC068014.2
188891427	RP11-713C19.2
142553293	RP11-417J8.1
139480294	RP1-225E12.3
29119390	CTD-2349P21.9
178148236	AC074286.1
80753362	RP11-567O16.1
32274148	RP11-56L13.1
3049903	LA16c-380H5.3
118451393	RFC5
29545170	TMEM183AP1
72766686	NAT9
23991400	ASLP1
142569266	RP11-417J8.2
80876158	RP11-497H17.1
3734155	C20orf27
105387740	HMGB3P11
284545	ITFG3
3051301	LA16c-380H5.4
29157919	CTD-2349P21.1
83439565	RP11-170N11.1
28287437	RP5-874C20.6
80936401	RP11-1197K16.2
151185594	LRBA
63564471	MTND4P2
32290187	RP11-1292F20.1
52641706	RP11-552J9.6
18111621	BCL2L13
3053432	LA16c-380H5.2
189027712	RP11-713C19.1
139592499	RP11-445F6.2
142618769	RP11-417J8.3
69838717	RP11-468N14.10
3056121	LA16c-380H5.5
189042685	RNU6-173P
7202858	AC019048.1
23995047	KB-1572G7.2
227693883	TUBB8P9
83911736	RP11-413G15.1
29549960	SNORD33
28378047	RNU2-45P
32300868	RP11-17M15.2
3082482	RP11-473M20.5
189061976	RP11-366H4.3
28414750	COX11P1
63565670	RP11-3N2.11
173833038	GAS5
29550219	RPL13AP
32368302	RP11-17M15.4
46085716	CCDC17
84041459	RP11-475O6.1
28423425	OR2E1P
87929274	MIR4435-1
63566032	MTND3P2
139659155	RP11-12A2.1
52651985	SSX8
63566443	RP11-3N2.9
2184824	Y_RNA
189081219	RP11-366H4.1
69850727	RP11-468N14.12
87954409	AC133965.1
2736776	RP11-129I19.2
132507910	CTB-49A3.1
29603761	SUMO2P1
15871185	LLNLR-249E10.1
67314145	AC023115.1
28555155	RP5-1186N24.3
47808713	CXXC1
115880621	C10orf118
66517709	TMBIM4
132579456	CTB-49A3.5
2787565	RP11-692C23.1
34310692	CCL15-CCL14
84255963	RP5-836J3.1
142620645	RP11-417J8.6
178165328	RP11-337N6.2
15932606	ZNF861P
178171101	RP11-337N6.1
72004876	RP3-331H24.5
84259560	AL035706.1
32390392	ACTR3BP3
178209171	AC019080.1
203765437	ZBED6
28601158	RP11-373N24.2
84444801	TTLL7-IT1
138699042	RP3-422G23.4
69862653	RP11-468N14.11
76944716	AL392111.1
178210586	snoU13
139791301	RP11-12A2.3
7281358	RN7SKP112
28615974	AL121932.1
18486516	AC144521.1
77029150	RPL39P25
84481548	RP4-552O12.1
178467817	AC073834.3
72038645	RP3-331H24.4
2831135	RP11-468D11.1
28616063	LINC00533
105424030	LINC01158
139935575	ATP5F1P6
33427426	PFDN6
189270530	RP11-219G10.1
136125788	ABO
15937855	AC004510.3
7401002	RP11-557L19.1
178563157	AC012499.1
189308625	NARG2P1
227698297	RP11-275O4.3
28699794	RPSAP2
69870574	RP11-813N20.1
77029577	ZNF503-AS1
139981065	RP11-15H7.2
18642561	FKBP8
72054047	LINC00472
142653525	AL583842.3
32399456	RP11-626K17.5
203830731	SNRPE
15939771	UCA1
84542014	RP11-486G15.2
142653718	AL583842.1
88762354	CTD-2232E5.2
227748882	RNA5SP77
2965120	RP11-35O7.1
142656062	AL583842.2
28743693	AL662890.1
189321890	LINC01060
138724668	HEBP2
84551424	RP11-486G15.1
227786125	RP4-566D2.1
63567200	RP11-3N2.8
142660017	SNX18P15
28751410	NOL5BP
150690028	IYD
178817838	AC011998.1
142667289	MIR3118-1
84710017	RP11-82H13.2
10353815	MARCH6
65601112	SNX32
28763749	AL662890.3
227832981	AL592310.1
178862000	API5P2
142688379	SNX18P16
28805646	XXbac-BPG308K3.5
227884593	ZNF847P
7464879	AC010904.1
142697653	ANKRD20A12P
140175987	RP5-899B16.1
28905261	SNORD99
178882720	AC011998.2
28827402	XXbac-BPG308K3.6
32450390	PABPC1P13
3178209	CTD-2029E14.1
84743004	SNORA2
28969740	RP11-442N24__B.1
161214596	OTOL1
178903629	RNU6-629P
15962803	AC004791.2
88000503	AC093616.4
18174742	TOP3A
178957230	CYCTP
132592184	CTB-49A3.4
84810361	RP11-376N17.4
227931532	SNAP47-AS1
117034911	RNA5SP276
31343720	COCH
150413645	GIMAP1
7137497	STS
117148998	AC103863.1
28829193	RPL13P
28975112	RNU11
228129291	MIR5008
145946298	ZNF251
117299588	AF130343.1
70479196	RNU6-23P
117414781	RP11-536K17.1
159814286	C4orf45
70563412	SNORD111B
228162980	CICP26
15982477	CYP4F36P
132723465	CTB-3M24.3
29016177	SCARNA24
28856609	ZNF90P2
70571908	SNORD111
29194087	RP1-212P9.2
117886663	RAD21-AS1
178970364	AC011998.4
132763288	MIR1289-2
70610204	RP11-49C24.1
140177241	RP5-899B16.2
132961536	AC005195.1
70780960	RP11-394B2.6
29196995	RP1-212P9.3
63568207	RP11-3N2.7
55076757	RP11-850F7.7
117886967	MIR3610
133056186	AC005178.1
179007275	RNU5E-9P
28864307	HCG14
22148738	HSPG2
29675809	ZDHHC20P1
140388572	RP3-332B22.1
84831111	UOX
65672976	ILF2P1
118030185	RN7SL228P
7561392	AC013460.1
179265561	RP11-65L3.1
70789001	VAC14-AS1
612553	IRF7
142790233	RP11-423O2.3
56347889	PMEL
228284964	MIR3620
23384435	MSRB2
29208238	Y_RNA
133186548	snoU13
118068057	RP11-1059L18.1
32465933	RP11-626K17.3
72086663	MIR30C2
29688220	HCG4P11
133249368	CTD-2131I18.1
29308790	RP4-604A21.1
16013110	AC005336.5
228302698	FAM96AP2
44225903	NFKBIE
63569003	RP11-3N2.5
72113254	MIR30A
28883422	RNU6-930P
65829565	RPL17P17
108511433	PAPSS1
28936907	KRT18P1
65858490	MAGI1-IT1
72160537	RP1-288M22.2
133340838	CTB-113I20.2
17065707	BASP1
118140694	RP11-654G14.1
29691842	DAQB-335A13.26
142790583	RP11-423O2.2
228322486	RP11-520H14.1
29312222	Y_RNA
65879491	MAGI1-AS1
105469743	RP11-13J10.1
72248587	AL035467.1
118176207	RN7SL826P
29471006	RP11-242O24.3
9302201	TMEM41B
133417605	CTB-113I20.1
72260661	RP1-288M22.1
118325767	SNORA31
149900543	MTMR11
28945252	RN7SL471P
179278666	AC009948.5
105481865	AC018730.4
1295809	AC136297.1
118535510	RPS10P16
228458144	RP5-1139B12.2
72294424	KRT19P1
28953980	HCG15
29479001	RP11-242O24.5
16021392	AC005336.4
70835986	RP11-424M24.5
175424300	WIPF1
29550445	RP11-467D18.2
228462285	RP5-1139B12.3
119774095	RPS26P35
28954577	HCG16
133541305	CTD-2410N18.4
51480098	PKHD1
228483612	RP5-1139B12.4
139171726	RBP2
142791488	RP11-423O2.1
16090645	CYP4F9P
28994457	OR2AD1P
140479728	RNA5SP220
70886601	RNU6ATAC25P
17616254	MED28
72294792	AL354933.1
119988752	RNU6-12P
140526389	MIR3668
70902110	SNORD112
228571815	RP11-245P10.6
72362177	RNU4-66P
29039601	OR2P1P
119994818	RP11-278I4.1
70907087	AC027281.1
29580054	AL645859.1
72936410	AL445256.1
140981760	AL356137.1
228581991	RP11-245P10.8
142799587	ASNSP5
126283408	RNA5SP138
141004951	MIR4465
73026302	RP5-1046G13.2
29656132	RP3-437I16.1
55196530	VDAC1P5
71114769	RP11-23E19.1
120075181	RP11-278I4.2
31929344	STK19
126343635	RP11-390G14.1
29044350	SAR1P1
141082666	RPS3AP24
228595082	RP11-245P10.4
89231916	RP11-745I13.1
24000281	AP000347.2
29758993	AL139151.1
55403530	RP11-616L12.1
71147255	RP11-23E19.2
189552078	RP11-756P10.1
73232343	RP11-135M8__A.1
142803224	RP11-423O2.5
29814705	RP11-810H18.1
29091987	XXbac-BCX196D17.5
228636864	RP5-915N17.3
179319443	AC009948.7
89279805	RP11-643G5.6
55509317	OR9K1P
71335486	CTD-2520I13.1
189637819	RNU7-192P
105481955	LINC01159
7804879	CD209
126379452	NUP210P1
120177273	MAL2
29105657	OR2N1P
73308179	RP3-474G15.1
189659506	RP11-756P10.3
73340223	KCNQ5-IT1
55516452	RP11-616L12.4
26565440	SEZ6L
88877026	RP11-116A1.1
142803532	ANKRD20A14P
29691910	RPL23AP1
30117392	AC092265.1
71365092	AC106736.1
52684257	RP11-552J9.9
30181698	RP4-656G21.1
71444343	RP11-510M2.1
73677410	MIR4282
189678833	RP11-756P10.4
105552869	AC010884.1
141167095	RP3-460G2.2
204042243	SOX13
228649775	MIR4666A
29149287	OR2J4P
89196481	AC113167.1
141243594	RP11-471B18.1
30357749	AL645944.1
228651804	HIST3H2BA
71454386	RP11-510M2.7
133561448	MIR3661
73696036	KNOP1P4
29706972	MICE
30377712	RP11-179G8.1
105609360	AC010884.2
142950985	RP11-423O2.7
52694281	RNA5SP504
29183013	OR2H4P
84971974	SPATA1
164696686	SI
52701768	SSXP5
105713510	AC104655.2
141768148	RP11-63E9.1
228696356	BTNL10
99184538	AC005020.1
5141849	OR52A4
141807278	RN7SKP106
73764820	PGAM1P10
29191750	XXbac-BPG308J9.3
89240727	AC113167.2
160025330	RAPGEF2
89371683	FOLH1B
143118704	RP11-782C8.2
7810303	VCX
89312438	MIR3660
141956787	RPS3AP23
30486799	RP11-111I12.1
71464165	RP11-510M2.4
99195689	GS1-259H13.2
73844526	KCNQ5-AS1
29197004	OR2G1P
28064115	ARMC4
24080865	LL22NC03-N27C7.1
5191581	OR51A1P
52716413	RP11-552J9.11
24198614	KB-1125A3.11
29230480	OR2U1P
30613110	RP5-893G23.1
73867240	RP11-257K9.3
133562101	CTD-2410N18.3
31764773	HSPA1L
120227351	RP11-4K16.2
52736652	RP11-552J9.12
30699370	RP3-357I16.1
24221682	RN7SL268P
133603112	CTD-2410N18.1
30882407	RP4-591L5.1
24243619	AP000350.5
189697811	RP11-756P10.5
133735186	RP11-215P8.3
56623833	SLC39A5
179385910	TTN-AS1
89454156	RP11-61G23.1
5198944	OR52Z1
150419341	GIMAP5
24269087	AP000350.6
30888672	RP4-591L5.2
133758529	RP11-215P8.1
189698833	RP11-756P10.2
73918806	KHDC1P1
29236239	OR2U2P
228743494	RNA5SP19
228746015	RNA5S1
67350489	AC078941.1
105760571	AC104655.3
16126097	LINC00661
24282185	AP000350.7
136125788	RP11-430N14.4
154266976	GEMIN5
29258488	OR2B4P
228748256	RNA5S2
130267618	FAM129B
189911869	RP11-818C3.1
142383854	RP11-137J7.3
3417266	LINC01019
5226271	AC104389.16
31191351	MATN1-AS1
24292105	AP000350.8
190114254	RP11-706F1.1
228750497	RNA5S3
71476958	RP11-510M2.8
5245678	CoTC_ribozyme
73972731	AC019205.1
190209831	RP11-706F1.2
120400588	SNORA32
136177953	Y_RNA
131705444	SLC22A5
142409370	RP11-137J7.2
143119061	RP11-782C8.1
43513266	PLEKHM1
120432150	RP11-775B15.2
17630929	FAM184B
24305942	KB-1125A3.10
228752738	RNA5S4
29713532	HCG9P5
5263184	HBBP1
142572984	RP11-753B14.1
73972938	RP11-398K22.12
29297403	DDX6P1
136184629	LCN1P2
133764742	RP11-215P8.4
